"filename", "language", "TOML", "Rust", "pip requirements", "jsonc", "comment", "blank", "total"
"/root/connect/.cargo/config.toml", "TOML", 3, 0, 0, 0, 0, 1, 4
"/root/connect/.devcontainer/devcontainer.json", "jsonc", 0, 0, 0, 9, 0, 0, 9
"/root/connect/.rustfmt.toml", "TOML", 7, 0, 0, 0, 0, 1, 8
"/root/connect/Cargo.lock", "TOML", 5223, 0, 0, 0, 2, 554, 5779
"/root/connect/Cargo.toml", "TOML", 51, 0, 0, 0, 3, 8, 62
"/root/connect/examples/playground.rs", "Rust", 0, 10, 0, 0, 8, 5, 23
"/root/connect/migration/Cargo.lock", "TOML", 4458, 0, 0, 0, 2, 480, 4940
"/root/connect/migration/Cargo.toml", "TOML", 16, 0, 0, 0, 3, 4, 23
"/root/connect/migration/src/lib.rs", "Rust", 0, 23, 0, 0, 0, 6, 29
"/root/connect/migration/src/m20220101_000001_users.rs", "Rust", 0, 43, 0, 0, 0, 5, 48
"/root/connect/migration/src/m20231103_114510_notes.rs", "Rust", 0, 29, 0, 0, 0, 5, 34
"/root/connect/migration/src/m20240424_101126_devices.rs", "Rust", 0, 53, 0, 0, 0, 10, 63
"/root/connect/migration/src/m20240424_141802_sements.rs", "Rust", 0, 76, 0, 0, 11, 8, 95
"/root/connect/migration/src/m20240424_144603_routes.rs", "Rust", 0, 56, 0, 0, 0, 8, 64
"/root/connect/migration/src/m20240424_155056_authorized_users.rs", "Rust", 0, 61, 0, 0, 0, 8, 69
"/root/connect/migration/src/main.rs", "Rust", 0, 5, 0, 0, 0, 2, 7
"/root/connect/minikeyvalue/requirements.txt", "pip requirements", 0, 0, 3, 0, 0, 1, 4
"/root/connect/src/app.rs", "Rust", 0, 76, 0, 0, 1, 13, 90
"/root/connect/src/bin/main.rs", "Rust", 0, 7, 0, 0, 0, 4, 11
"/root/connect/src/build.rs", "Rust", 0, 24, 0, 0, 4, 7, 35
"/root/connect/src/capnp_mod.rs", "Rust", 0, 0, 0, 0, 0, 1, 1
"/root/connect/src/common/mkv_helpers.rs", "Rust", 0, 7, 0, 0, 0, 2, 9
"/root/connect/src/common/mod.rs", "Rust", 0, 1, 0, 0, 0, 0, 1
"/root/connect/src/controllers/auth.rs", "Rust", 0, 110, 0, 0, 15, 27, 152
"/root/connect/src/controllers/connectdata.rs", "Rust", 0, 61, 0, 0, 3, 14, 78
"/root/connect/src/controllers/connectincomming.rs", "Rust", 0, 66, 0, 0, 1, 13, 80
"/root/connect/src/controllers/mod.rs", "Rust", 0, 6, 0, 0, 0, 1, 7
"/root/connect/src/controllers/notes.rs", "Rust", 0, 59, 0, 0, 0, 11, 70
"/root/connect/src/controllers/user.rs", "Rust", 0, 11, 0, 0, 0, 4, 15
"/root/connect/src/controllers/v1.rs", "Rust", 0, 160, 0, 0, 9, 24, 193
"/root/connect/src/initializers/mod.rs", "Rust", 0, 2, 0, 0, 0, 1, 3
"/root/connect/src/initializers/view_engine.rs", "Rust", 0, 32, 0, 0, 0, 5, 37
"/root/connect/src/lib.rs", "Rust", 0, 10, 0, 0, 0, 1, 11
"/root/connect/src/mailers/auth.rs", "Rust", 0, 45, 0, 0, 13, 8, 66
"/root/connect/src/mailers/mod.rs", "Rust", 0, 1, 0, 0, 0, 1, 2
"/root/connect/src/models/_entities/authorized_users.rs", "Rust", 0, 39, 0, 0, 3, 6, 48
"/root/connect/src/models/_entities/devices.rs", "Rust", 0, 51, 0, 0, 1, 7, 59
